Run,Step,Agent,Reward
2,37,Ko,0.4
2,38,Lee,1.18
2,38,Shin,1.24
2,38,Kang,0.9
2,38,Lim,0.64
2,38,Ko,0.46
2,39,Lee,1.24
2,39,Shin,1.14
2,39,Kang,0.92
2,39,Lim,0.52
2,39,Ko,0.48
