Run,Step,Agent,Reward
1,53,Shin,0.04
1,53,Kang,0.8
1,53,Lim,0.74
1,53,Ko,0.7
1,54,Lee,0.7
1,54,Shin,0.1
1,54,Kang,0.96
1,54,Lim,0.62
1,54,Ko,0.78
1,55,Lee,0.7
1,55,Shin,0.08
1,55,Kang,0.82
1,55,Lim,0.72
1,55,Ko,0.78
1,56,Lee,0.52
1,56,Shin,0.06
1,56,Kang,0.84
1,56,Lim,0.86
1,56,Ko,0.66
1,57,Lee,0.6
1,57,Shin,0.04
1,57,Kang,0.72
1,57,Lim,0.62
1,57,Ko,0.72
1,58,Lee,0.64
1,58,Shin,0.04
1,58,Kang,0.92
1,58,Lim,0.54
1,58,Ko,0.74
1,59,Lee,0.54
1,59,Shin,0.04
1,59,Kang,1.08
1,59,Lim,0.66
1,59,Ko,0.7
2,0,Lee,0.64
2,0,Shin,0.14
2,0,Kang,0.74
2,0,Lim,0.56
2,0,Ko,1.02
2,1,Lee,0.88
2,1,Shin,0.14
2,1,Kang,0.84
2,1,Lim,0.36
2,1,Ko,1.0
2,2,Lee,0.76
2,2,Shin,0.06
2,2,Kang,1.02
2,2,Lim,0.42
2,2,Ko,1.04
2,3,Lee,0.72
2,3,Shin,0.1
2,3,Kang,0.98
2,3,Lim,0.34
2,3,Ko,1.02
2,4,Lee,0.84
2,4,Shin,0.12
2,4,Kang,1.08
2,4,Lim,0.44
2,4,Ko,1.02
2,5,Lee,0.7
2,5,Shin,0.18
2,5,Kang,1.02
2,5,Lim,0.44
2,5,Ko,0.98
2,6,Lee,0.7
2,6,Shin,0.32
2,6,Kang,1.1
2,6,Lim,0.48
2,6,Ko,0.8
2,7,Lee,0.76
2,7,Shin,0.32
2,7,Kang,1.1
2,7,Lim,0.42
2,7,Ko,0.94
2,8,Lee,0.74
2,8,Shin,0.22
2,8,Kang,1.06
2,8,Lim,0.42
2,8,Ko,0.84
2,9,Lee,0.82
2,9,Shin,0.38
2,9,Kang,1.08
2,9,Lim,0.46
2,9,Ko,0.92
2,10,Lee,0.56
2,10,Shin,0.42
2,10,Kang,1.16
2,10,Lim,0.62
2,10,Ko,0.76
2,11,Lee,0.76
2,11,Shin,0.38
2,11,Kang,1.02
2,11,Lim,0.52
2,11,Ko,0.8
2,12,Lee,0.6
2,12,Shin,0.38
2,12,Kang,1.14
2,12,Lim,0.5
2,12,Ko,0.78
2,13,Lee,0.7
2,13,Shin,0.26
2,13,Kang,1.2
2,13,Lim,0.44
2,13,Ko,0.94
2,14,Lee,0.54
2,14,Shin,0.42
2,14,Kang,1.16
2,14,Lim,0.52
2,14,Ko,0.8
2,15,Lee,0.76
2,15,Shin,0.36
2,15,Kang,0.92
2,15,Lim,0.48
2,15,Ko,0.84
2,16,Lee,0.68
2,16,Shin,0.42
2,16,Kang,1.0
2,16,Lim,0.52
2,16,Ko,0.74
2,17,Lee,0.5
2,17,Shin,0.5
2,17,Kang,1.08
2,17,Lim,0.52
2,17,Ko,0.72
2,18,Lee,0.6
2,18,Shin,0.46
2,18,Kang,1.02
2,18,Lim,0.56
2,18,Ko,0.78
2,19,Lee,0.7
2,19,Shin,0.44
