Run,Step,Agent,Probability of Winning
1,31,Lim,0.1206666666666667
1,31,Ko,0.04666666666666666
1,32,Lee,0.5039999999999999
1,32,Shin,0.7326666666666667
1,32,Kang,0.2686666666666667
1,32,Lim,0.08333333333333331
1,32,Ko,0.03666666666666667
1,33,Lee,0.4653333333333333
1,33,Shin,0.7346666666666667
1,33,Kang,0.2126666666666667
1,33,Lim,0.12800000000000003
1,33,Ko,0.04133333333333334
1,34,Lee,0.5159999999999999
1,34,Shin,0.7213333333333335
1,34,Kang,0.22933333333333333
1,34,Lim,0.1166666666666667
1,34,Ko,0.03
1,35,Lee,0.4506666666666666
1,35,Shin,0.7200000000000002
1,35,Kang,0.23200000000000004
1,35,Lim,0.10733333333333336
1,35,Ko,0.04666666666666666
1,36,Lee,0.504
1,36,Shin,0.7126666666666666
1,36,Kang,0.21799999999999994
1,36,Lim,0.128
1,36,Ko,0.03
1,37,Lee,0.5419999999999999
1,37,Shin,0.6873333333333335
1,37,Kang,0.18466666666666662
1,37,Lim,0.10666666666666666
1,37,Ko,0.056666666666666664
1,38,Lee,0.5299999999999999
1,38,Shin,0.6793333333333333
1,38,Kang,0.24733333333333335
1,38,Lim,0.10266666666666666
1,38,Ko,0.03
1,39,Lee,0.5513333333333335
1,39,Shin,0.6966666666666668
1,39,Kang,0.21600000000000003
1,39,Lim,0.128
1,39,Ko,0.02333333333333333
2,0,Lee,0.13200000000000006
2,0,Shin,0.5273333333333333
2,0,Kang,0.2333333333333333
2,0,Lim,0.306
2,0,Ko,0.14
2,1,Lee,0.08999999999999998
2,1,Shin,0.49066666666666664
2,1,Kang,0.37400000000000005
2,1,Lim,0.3280000000000001
2,1,Ko,0.10333333333333337
2,2,Lee,0.1613333333333334
2,2,Shin,0.5073333333333333
2,2,Kang,0.39599999999999996
2,2,Lim,0.24199999999999997
2,2,Ko,0.06999999999999999
2,3,Lee,0.22333333333333338
2,3,Shin,0.5126666666666668
2,3,Kang,0.4333333333333333
2,3,Lim,0.21799999999999997
2,3,Ko,0.0733333333333333
2,4,Lee,0.1973333333333334
2,4,Shin,0.54
2,4,Kang,0.3526666666666667
2,4,Lim,0.20133333333333334
2,4,Ko,0.09
2,5,Lee,0.22133333333333333
2,5,Shin,0.5026666666666666
2,5,Kang,0.3666666666666667
2,5,Lim,0.19933333333333333
2,5,Ko,0.07999999999999999
2,6,Lee,0.2753333333333332
2,6,Shin,0.5180000000000002
2,6,Kang,0.34666666666666657
2,6,Lim,0.18266666666666673
2,6,Ko,0.06999999999999998
2,7,Lee,0.3073333333333333
2,7,Shin,0.574
2,7,Kang,0.3226666666666668
2,7,Lim,0.16866666666666671
2,7,Ko,0.06333333333333332
2,8,Lee,0.30000000000000004
2,8,Shin,0.5013333333333333
2,8,Kang,0.2933333333333332
2,8,Lim,0.1613333333333334
2,8,Ko,0.05333333333333332
2,9,Lee,0.31533333333333324
2,9,Shin,0.5220000000000001
2,9,Kang,0.2740000000000001
2,9,Lim,0.20933333333333334
2,9,Ko,0.04333333333333333
2,10,Lee,0.3339999999999999
2,10,Shin,0.6106666666666666
2,10,Kang,0.2720000000000001
2,10,Lim,0.1453333333333334
2,10,Ko,0.06666666666666665
2,11,Lee,0.3006666666666667
2,11,Shin,0.5506666666666669
2,11,Kang,0.336
2,11,Lim,0.14400000000000004
2,11,Ko,0.05333333333333334
2,12,Lee,0.3533333333333333
2,12,Shin,0.6040000000000001
2,12,Kang,0.24799999999999997
2,12,Lim,0.17666666666666667
2,12,Ko,0.04666666666666666
2,13,Lee,0.41466666666666663
2,13,Shin,0.5673333333333335
2,13,Kang,0.25000000000000006
2,13,Lim,0.11800000000000002
2,13,Ko,0.088
2,14,Lee,0.4259999999999999
2,14,Shin,0.5566666666666666
2,14,Kang,0.28466666666666673
2,14,Lim,0.09933333333333332
2,14,Ko,0.03
