Run,Step,Agent,Episode Length
2,30,Kang,4.0
2,30,Lim,4.0
2,30,Ko,4.0
2,31,Lee,3.58
2,31,Shin,3.02
2,31,Kang,4.0
2,31,Lim,4.0
2,31,Ko,4.0
2,32,Lee,3.64
2,32,Shin,2.82
2,32,Kang,4.0
2,32,Lim,4.0
2,32,Ko,4.0
2,33,Lee,3.56
2,33,Shin,3.2
2,33,Kang,4.0
2,33,Lim,4.0
2,33,Ko,4.0
2,34,Lee,3.68
2,34,Shin,2.88
2,34,Kang,4.0
2,34,Lim,4.0
2,34,Ko,4.0
2,35,Lee,3.34
2,35,Shin,3.2
2,35,Kang,4.0
2,35,Lim,4.0
2,35,Ko,4.0
2,36,Lee,3.6
2,36,Shin,3.0
2,36,Kang,4.0
2,36,Lim,4.0
2,36,Ko,4.0
2,37,Lee,3.44
2,37,Shin,3.1
2,37,Kang,4.0
2,37,Lim,4.0
2,37,Ko,4.0
2,38,Lee,3.32
2,38,Shin,3.16
2,38,Kang,4.0
2,38,Lim,4.0
2,38,Ko,4.0
2,39,Lee,3.54
2,39,Shin,3.12
2,39,Kang,4.0
2,39,Lim,4.0
2,39,Ko,4.0
